site_group,site_order,tool_site,ajcc7_source_sites,ajcc7_source_pages,ajcc7_import_rule_rows,ajcc8_source_sites,ajcc8_source_pages,ajcc8_import_rule_rows,coverage_status,crosswalk_note,review_instruction
Genitourinary / 泌尿與男性生殖,66,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,Urinary Bladder,Urinary Bladder:p513-522,22,Urinary Bladder,Urinary Bladder:p200-202,18,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,67,Male Penile Urethra and Female Urethra: Urothelial Carcinomas,Urethra,Urethra:p523-530,15,Urethra,Urethra:p203-205,13,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,68,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Urethra,Urethra:p523-530,15,Urethra,Urethra:p203-205,13,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,69,Prostatic Urethra: Urothelial Carcinomas,Urethra,Urethra:p523-530,15,Urethra,Urethra:p203-205,13,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,70,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Urethra,Urethra:p523-530,15,Urethra,Urethra:p203-205,13,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,71,Eyelid Carcinoma,Carcinoma of the Eyelid,Carcinoma of the Eyelid:p539-546,11,Eyelid Carcinoma,Eyelid Carcinoma:p206-208,5,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,72,Conjunctival Carcinoma,Carcinoma of the Conjunctiva,Carcinoma of the Conjunctiva:p547-554,0,Conjunctival Carcinoma,Conjunctival Carcinoma:p209-210,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,73,Conjunctival Melanoma,Malignant Melanoma of the Conjunctiva,Malignant Melanoma of the Conjunctiva:p555-562,0,Conjunctival Melanoma,Conjunctival Melanoma:p211-213,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,74,Uveal Melanoma – Iris Melanoma,Malignant Melanoma of the Uvea,Malignant Melanoma of the Uvea:p563-576,26,Uveal Melanoma,Uveal Melanoma:p214-216,19,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,75,Uveal Melanoma – Choroidal and Ciliary Body Melanoma,Malignant Melanoma of the Uvea,Malignant Melanoma of the Uvea:p563-576,26,Uveal Melanoma,Uveal Melanoma:p214-216,19,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,76,Retinoblastoma,Retinoblastoma,Retinoblastoma:p577-584,0,Retinoblastoma,Retinoblastoma:p217-220,6,ajcc8_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,77,Lacrimal Gland Carcinoma,Carcinoma of the Lacrimal Gland,Carcinoma of the Lacrimal Gland:p585-592,0,Lacrimal Gland Carcinoma,Lacrimal Gland Carcinoma:p221-222,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,78,Orbital Sarcoma,Sarcoma of the Orbit,Sarcoma of the Orbit:p593-598,0,Orbital Sarcoma,Orbital Sarcoma:p223-224,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Ophthalmic / 眼科腫瘤,79,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma:p599-608,0,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma:p225-227,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
CNS / 中樞神經,80,Brain and Spinal Cord,Brain and Spinal Cord,Brain and Spinal Cord:p609-620,0,Brain and Spinal Cord,Brain and Spinal Cord:p228-230,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,81,Thyroid – Differentiated,Thyroid,Thyroid:p103-112,18,Thyroid - Differentiated and Anaplastic Carcinoma,Thyroid - Differentiated and Anaplastic Carcinoma:p231-235,7,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,82,Thyroid – Anaplastic,Thyroid,Thyroid:p103-112,18,Thyroid - Differentiated and Anaplastic Carcinoma,Thyroid - Differentiated and Anaplastic Carcinoma:p231-235,7,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,83,Thyroid – Medullary,Thyroid,Thyroid:p103-112,18,Thyroid - Medullary,Thyroid - Medullary:p236-239,1,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,84,Parathyroid,,,0,Parathyroid,Parathyroid:p240-240,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,85,Adrenal Cortical Carcinoma,Adrenal,Adrenal:p531-538,9,Adrenal Cortical Carcinoma,Adrenal Cortical Carcinoma:p241-242,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Endocrine / 內分泌,86,Adrenal – Neuroendocrine Tumors,Adrenal | Neuroendocrine Tumors,Adrenal:p531-538 | Neuroendocrine Tumors:p197-206,14,Adrenal - Neuroendocrine Tumors,Adrenal - Neuroendocrine Tumors:p243-243,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,87,Non-Hodgkin Lymphomas: Unspecified or Other Type,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,88,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,89,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,90,Non-Hodgkin Lymphomas: Follicular Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,91,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,92,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,93,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,94,Hodgkin Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas:p244-246,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,95,Pediatric Hodgkin Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Pediatric Hodgkin and Non-Hodgkin Lymphomas,Pediatric Hodgkin and Non-Hodgkin Lymphomas:p247-248,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,96,Pediatric Non-Hodgkin Lymphoma,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Pediatric Hodgkin and Non-Hodgkin Lymphomas,Pediatric Hodgkin and Non-Hodgkin Lymphomas:p247-248,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,97,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Primary Cutaneous Lymphomas,Primary Cutaneous Lymphomas:p249-253,3,ajcc8_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,98,Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Primary Cutaneous Lymphomas,Primary Cutaneous Lymphomas:p249-253,3,ajcc8_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Hematologic & Lymphoid / 血液淋巴,99,Plasma Cell Myeloma and Plasma Cell Disorders,Lymphoid Neoplasms,Lymphoid Neoplasms:p621-644,0,Plasma Cell Myeloma and Plasma Cell Disorders,Plasma Cell Myeloma and Plasma Cell Disorders:p254-255,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
